dihard2019_ivectors_20_2, {"der": 10.1, "eer": 11.05, "dcf": 0.7948}, {"der": 12.48, "eer": 13.54, "dcf": 0.8012}, {"der": 11.29, "eer": 12.295, "dcf": 0.798}
dihard2019_xvectors_5_0, {"der": 23.47, "eer": 34.11, "dcf": 0.9999}, {"der": 22.1, "eer": 32.6, "dcf": 0.9986}, {"der": 22.785, "eer": 33.355000000000004, "dcf": 0.99925}
dihard2019_xvectors_5_1, {"der": 18.51, "eer": 27.16, "dcf": 0.9974}, {"der": 20.48, "eer": 27.48, "dcf": 0.9976}, {"der": 19.495, "eer": 27.32, "dcf": 0.9975}
dihard2019_xvectors_5_2, {"der": 23.79, "eer": 33.83, "dcf": 1.0}, {"der": 18.87, "eer": 25.5, "dcf": 0.9997}, {"der": 21.33, "eer": 29.665, "dcf": 0.99985}
dihard2019_xvectors_10_0, {"der": 15.71, "eer": 20.31, "dcf": 0.9829}, {"der": 17.48, "eer": 22.05, "dcf": 0.9998}, {"der": 16.595, "eer": 21.18, "dcf": 0.99135}
dihard2019_xvectors_10_1, {"der": 16.4, "eer": 22.02, "dcf": 0.9921}, {"der": 17.67, "eer": 21.7, "dcf": 1.0}, {"der": 17.035, "eer": 21.86, "dcf": 0.99605}
dihard2019_xvectors_10_2, {"der": 22.09, "eer": 31.63, "dcf": 0.9995}, {"der": 16.06, "eer": 19.97, "dcf": 0.988}, {"der": 19.075, "eer": 25.799999999999997, "dcf": 0.99375}
dihard2019_xvectors_15_0, {"der": 13.46, "eer": 18.5, "dcf": 0.9901}, {"der": 14.42, "eer": 18.46, "dcf": 0.972}, {"der": 13.940000000000001, "eer": 18.48, "dcf": 0.98105}
dihard2019_xvectors_15_1, {"der": 18.9, "eer": 27.39, "dcf": 0.9992}, {"der": 15.07, "eer": 19.93, "dcf": 0.9671}, {"der": 16.985, "eer": 23.66, "dcf": 0.98315}
dihard2019_xvectors_15_2, {"der": 14.6, "eer": 17.45, "dcf": 0.9927}, {"der": 16.17, "eer": 18.74, "dcf": 0.9973}, {"der": 15.385000000000002, "eer": 18.095, "dcf": 0.995}
dihard2019_xvectors_20_0, {"der": 21.53, "eer": 37.87, "dcf": 1.0}, {"der": 23.0, "eer": 39.84, "dcf": 0.9996}, {"der": 22.265, "eer": 38.855000000000004, "dcf": 0.9998}
dihard2019_xvectors_20_1, {"der": 13.07, "eer": 18.42, "dcf": 0.9999}, {"der": 13.69, "eer": 16.64, "dcf": 0.9757}, {"der": 13.379999999999999, "eer": 17.53, "dcf": 0.9878}
dihard2019_xvectors_20_2, {"der": 18.25, "eer": 24.12, "dcf": 0.9803}, {"der": 14.25, "eer": 17.3, "dcf": 0.993}, {"der": 16.25, "eer": 20.71, "dcf": 0.98665}
dihard2019_ivectors_5_0, {"der": 18.58, "eer": 21.7, "dcf": 0.9523}, {"der": 18.07, "eer": 20.12, "dcf": 0.9623}, {"der": 18.325, "eer": 20.91, "dcf": 0.9573}
dihard2019_ivectors_5_1, {"der": 16.77, "eer": 18.1, "dcf": 0.9184}, {"der": 19.45, "eer": 22.09, "dcf": 0.9315}, {"der": 18.11, "eer": 20.095, "dcf": 0.9249499999999999}
dihard2019_ivectors_5_2, {"der": 18.41, "eer": 21.41, "dcf": 0.9951}, {"der": 19.56, "eer": 25.02, "dcf": 0.9923}, {"der": 18.985, "eer": 23.215, "dcf": 0.9937}
dihard2019_ivectors_10_0, {"der": 14.82, "eer": 17.64, "dcf": 0.8933}, {"der": 16.18, "eer": 17.57, "dcf": 0.9022}, {"der": 15.5, "eer": 17.605, "dcf": 0.89775}
dihard2019_ivectors_10_1, {"der": 14.81, "eer": 15.96, "dcf": 0.9693}, {"der": 14.4, "eer": 16.02, "dcf": 0.9008}, {"der": 14.605, "eer": 15.99, "dcf": 0.93505}
dihard2019_ivectors_10_2, {"der": 12.89, "eer": 14.13, "dcf": 0.899}, {"der": 14.92, "eer": 16.06, "dcf": 0.8939}, {"der": 13.905000000000001, "eer": 15.094999999999999, "dcf": 0.89645}
dihard2019_ivectors_15_0, {"der": 12.71, "eer": 14.04, "dcf": 0.8909}, {"der": 12.78, "eer": 13.62, "dcf": 0.8671}, {"der": 12.745000000000001, "eer": 13.829999999999998, "dcf": 0.879}
dihard2019_ivectors_15_1, {"der": 12.86, "eer": 13.42, "dcf": 0.8398}, {"der": 16.28, "eer": 18.77, "dcf": 0.9275}, {"der": 14.57, "eer": 16.095, "dcf": 0.88365}
dihard2019_ivectors_15_2, {"der": 12.11, "eer": 13.01, "dcf": 0.978}, {"der": 14.32, "eer": 16.05, "dcf": 0.9082}, {"der": 13.215, "eer": 14.530000000000001, "dcf": 0.9431}
dihard2019_ivectors_20_0, {"der": 10.3, "eer": 10.84, "dcf": 0.7783}, {"der": 11.75, "eer": 11.92, "dcf": 0.8246}, {"der": 11.025, "eer": 11.379999999999999, "dcf": 0.80145}
dihard2019_ivectors_20_1, {"der": 10.99, "eer": 11.37, "dcf": 0.8005}, {"der": 12.86, "eer": 14.38, "dcf": 0.9067}, {"der": 11.925, "eer": 12.875, "dcf": 0.8535999999999999}
dihard2019_ivectors_20_2, {"der": 12.32, "eer": 13.34, "dcf": 0.95}, {"der": 20.21, "eer": 26.26, "dcf": 0.9826}, {"der": 16.265, "eer": 19.8, "dcf": 0.9662999999999999}
dihard2019_xvectors_5_0, {"der": 21.28, "eer": 30.59, "dcf": 0.9996}, {"der": 20.23, "eer": 27.34, "dcf": 0.9999}, {"der": 20.755000000000003, "eer": 28.965, "dcf": 0.99975}
dihard2019_xvectors_5_1, {"der": 21.64, "eer": 26.01, "dcf": 0.998}, {"der": 20.59, "eer": 28.81, "dcf": 0.9922}, {"der": 21.115000000000002, "eer": 27.41, "dcf": 0.9951}
dihard2019_xvectors_5_2, {"der": 20.67, "eer": 35.6, "dcf": 0.9999}, {"der": 19.4, "eer": 25.81, "dcf": 0.9997}, {"der": 20.035, "eer": 30.705, "dcf": 0.9998}
dihard2019_xvectors_10_0, {"der": 19.93, "eer": 29.14, "dcf": 0.9998}, {"der": 18.93, "eer": 27.44, "dcf": 1.0}, {"der": 19.43, "eer": 28.29, "dcf": 0.9999}
dihard2019_xvectors_10_1, {"der": 15.54, "eer": 20.79, "dcf": 0.9991}, {"der": 18.0, "eer": 23.14, "dcf": 0.9964}, {"der": 16.77, "eer": 21.965, "dcf": 0.9977499999999999}
dihard2019_xvectors_10_2, {"der": 18.31, "eer": 23.3, "dcf": 0.981}, {"der": 17.98, "eer": 22.0, "dcf": 0.9996}, {"der": 18.145, "eer": 22.65, "dcf": 0.9903}
dihard2019_xvectors_15_0, {"der": 15.7, "eer": 21.39, "dcf": 0.9772}, {"der": 13.51, "eer": 18.9, "dcf": 0.9916}, {"der": 14.605, "eer": 20.145, "dcf": 0.9843999999999999}
dihard2019_xvectors_15_1, {"der": 18.1, "eer": 26.15, "dcf": 0.9999}, {"der": 19.46, "eer": 26.26, "dcf": 0.9998}, {"der": 18.78, "eer": 26.205, "dcf": 0.99985}
dihard2019_xvectors_15_2, {"der": 13.86, "eer": 16.25, "dcf": 0.9981}, {"der": 14.41, "eer": 20.99, "dcf": 0.9999}, {"der": 14.135, "eer": 18.619999999999997, "dcf": 0.999}
dihard2019_xvectors_20_0, {"der": 17.46, "eer": 23.38, "dcf": 0.9999}, {"der": 11.73, "eer": 15.68, "dcf": 0.9922}, {"der": 14.595, "eer": 19.53, "dcf": 0.99605}
dihard2019_xvectors_20_1, {"der": 21.91, "eer": 35.79, "dcf": 0.9999}, {"der": 10.89, "eer": 13.69, "dcf": 0.9674}, {"der": 16.4, "eer": 24.74, "dcf": 0.98365}
dihard2019_xvectors_20_2, {"der": 17.37, "eer": 27.51, "dcf": 0.9999}, {"der": 20.65, "eer": 29.54, "dcf": 0.996}, {"der": 19.009999999999998, "eer": 28.525, "dcf": 0.99795}
dihard2019_ivectors_5_0, {"der": 14.9, "eer": 14.88, "dcf": 0.9719}, {"der": 8.55, "eer": 7.249, "dcf": 0.9634}, {"der": 11.725000000000001, "eer": 11.0645, "dcf": 0.96765}
dihard2019_ivectors_5_1, {"der": 8.15, "eer": 7.406, "dcf": 0.6373}, {"der": 6.27, "eer": 5.095, "dcf": 0.56}, {"der": 7.21, "eer": 6.2505, "dcf": 0.59865}
dihard2019_ivectors_5_2, {"der": 6.76, "eer": 5.773, "dcf": 0.579}, {"der": 7.11, "eer": 5.981, "dcf": 0.697}, {"der": 6.9350000000000005, "eer": 5.877, "dcf": 0.6379999999999999}
dihard2019_ivectors_10_0, {"der": 5.97, "eer": 5.205, "dcf": 0.5582}, {"der": 5.1, "eer": 3.458, "dcf": 0.4513}, {"der": 5.535, "eer": 4.3315, "dcf": 0.50475}
dihard2019_ivectors_10_1, {"der": 6.18, "eer": 5.331, "dcf": 0.6546}, {"der": 6.62, "eer": 5.149, "dcf": 0.5336}, {"der": 6.4, "eer": 5.24, "dcf": 0.5941}
dihard2019_ivectors_10_2, {"der": 5.49, "eer": 4.529, "dcf": 0.5748}, {"der": 5.95, "eer": 4.877, "dcf": 0.5622}, {"der": 5.720000000000001, "eer": 4.702999999999999, "dcf": 0.5685}
dihard2019_ivectors_15_0, {"der": 5.01, "eer": 3.821, "dcf": 0.5525}, {"der": 6.35, "eer": 5.32, "dcf": 0.5572}, {"der": 5.68, "eer": 4.5705, "dcf": 0.5548500000000001}
dihard2019_ivectors_15_1, {"der": 5.02, "eer": 3.906, "dcf": 0.4719}, {"der": 5.36, "eer": 3.692, "dcf": 0.4657}, {"der": 5.1899999999999995, "eer": 3.7990000000000004, "dcf": 0.4688}
dihard2019_ivectors_5_0, {"der": 5.91, "eer": 4.724, "dcf": 0.4842}, {"der": 6.76, "eer": 5.458, "dcf": 0.6564}, {"der": 6.335, "eer": 5.091, "dcf": 0.5703}
dihard2019_ivectors_5_1, {"der": 7.01, "eer": 5.724, "dcf": 0.5878}, {"der": 6.24, "eer": 5.198, "dcf": 0.6201}, {"der": 6.625, "eer": 5.461, "dcf": 0.60395}
dihard2019_ivectors_5_2, {"der": 5.67, "eer": 4.5, "dcf": 0.5148}, {"der": 5.64, "eer": 4.568, "dcf": 0.5397}, {"der": 5.654999999999999, "eer": 4.534, "dcf": 0.52725}
dihard2019_ivectors_10_0, {"der": 5.01, "eer": 4.26, "dcf": 0.529}, {"der": 5.32, "eer": 3.804, "dcf": 0.5269}, {"der": 5.165, "eer": 4.032, "dcf": 0.52795}
dihard2019_ivectors_10_1, {"der": 4.95, "eer": 3.925, "dcf": 0.5453}, {"der": 6.03, "eer": 4.424, "dcf": 0.5072}, {"der": 5.49, "eer": 4.1745, "dcf": 0.52625}
dihard2019_ivectors_10_2, {"der": 5.66, "eer": 4.766, "dcf": 0.5755}, {"der": 4.92, "eer": 3.885, "dcf": 0.5217}, {"der": 5.29, "eer": 4.3255, "dcf": 0.5486}
dihard2019_ivectors_15_0, {"der": 4.87, "eer": 4.01, "dcf": 0.5452}, {"der": 4.72, "eer": 2.594, "dcf": 0.3627}, {"der": 4.795, "eer": 3.3019999999999996, "dcf": 0.45395}
dihard2019_ivectors_15_1, {"der": 5.3, "eer": 4.266, "dcf": 0.5126}, {"der": 5.68, "eer": 4.424, "dcf": 0.5707}, {"der": 5.49, "eer": 4.345000000000001, "dcf": 0.54165}
dihard2019_ivectors_15_2, {"der": 4.67, "eer": 3.221, "dcf": 0.4307}, {"der": 6.57, "eer": 4.716, "dcf": 0.5874}, {"der": 5.62, "eer": 3.9685, "dcf": 0.50905}
dihard2019_ivectors_20_0, {"der": 5.9, "eer": 4.623, "dcf": 0.5162}, {"der": 4.72, "eer": 3.005, "dcf": 0.3897}, {"der": 5.3100000000000005, "eer": 3.814, "dcf": 0.45294999999999996}
dihard2019_ivectors_20_1, {"der": 4.36, "eer": 2.666, "dcf": 0.3702}, {"der": 5.56, "eer": 4.607, "dcf": 0.6202}, {"der": 4.96, "eer": 3.6365, "dcf": 0.4952}
dihard2019_ivectors_20_2, {"der": 4.8, "eer": 3.841, "dcf": 0.5172}, {"der": 5.08, "eer": 3.811, "dcf": 0.4316}, {"der": 4.9399999999999995, "eer": 3.826, "dcf": 0.4744}
dihard2019_xvectors_5_0, {"der": 11.67, "eer": 10.94, "dcf": 0.7818}, {"der": 12.89, "eer": 11.71, "dcf": 0.7996}, {"der": 12.280000000000001, "eer": 11.325, "dcf": 0.7907}
dihard2019_xvectors_5_1, {"der": 10.45, "eer": 10.51, "dcf": 0.7802}, {"der": 12.61, "eer": 11.96, "dcf": 0.8107}, {"der": 11.53, "eer": 11.235, "dcf": 0.79545}
dihard2019_xvectors_5_2, {"der": 11.11, "eer": 10.8, "dcf": 0.7723}, {"der": 13.03, "eer": 12.23, "dcf": 0.8062}, {"der": 12.07, "eer": 11.515, "dcf": 0.78925}
dihard2019_xvectors_10_0, {"der": 8.0, "eer": 7.698, "dcf": 0.6136}, {"der": 9.84, "eer": 8.851, "dcf": 0.7328}, {"der": 8.92, "eer": 8.2745, "dcf": 0.6732}
